date,year,quarter,period,week
12/30/2018,2019,Q1,1,1
1/6/2019,2019,Q1,1,2
1/13/2019,2019,Q1,1,3
1/20/2019,2019,Q1,1,4
1/27/2019,2019,Q1,2,5
2/3/2019,2019,Q1,2,6
2/10/2019,2019,Q1,2,7
2/17/2019,2019,Q1,2,8
2/24/2019,2019,Q1,3,9
3/3/2019,2019,Q1,3,10
3/10/2019,2019,Q1,3,11
3/17/2019,2019,Q1,3,12
3/24/2019,2019,Q1,4,13
3/31/2019,2019,Q2,4,14
4/7/2019,2019,Q2,4,15
4/14/2019,2019,Q2,4,16
4/21/2019,2019,Q2,5,17
4/28/2019,2019,Q2,5,18
5/5/2019,2019,Q2,5,19
5/12/2019,2019,Q2,5,20
5/19/2019,2019,Q2,6,21
5/26/2019,2019,Q2,6,22
6/2/2019,2019,Q2,6,23
6/9/2019,2019,Q2,6,24
6/16/2019,2019,Q2,7,25
6/23/2019,2019,Q2,7,26
6/30/2019,2019,Q3,7,27
7/7/2019,2019,Q3,7,28
7/14/2019,2019,Q3,8,29
7/21/2019,2019,Q3,8,30
7/28/2019,2019,Q3,8,31
8/4/2019,2019,Q3,8,32
8/11/2019,2019,Q3,9,33
8/18/2019,2019,Q3,9,34
8/25/2019,2019,Q3,9,35
9/1/2019,2019,Q3,9,36
9/8/2019,2019,Q3,10,37
9/15/2019,2019,Q3,10,38
9/22/2019,2019,Q3,10,39
9/29/2019,2019,Q4,10,40
10/6/2019,2019,Q4,11,41
10/13/2019,2019,Q4,11,42
10/20/2019,2019,Q4,11,43
10/27/2019,2019,Q4,11,44
11/3/2019,2019,Q4,12,45
11/10/2019,2019,Q4,12,46
11/17/2019,2019,Q4,12,47
11/24/2019,2019,Q4,12,48
12/1/2019,2019,Q4,13,49
12/8/2019,2019,Q4,13,50
12/15/2019,2019,Q4,13,51
12/22/2019,2019,Q4,13,52
12/29/2019,2020,Q1,1,1
1/5/2020,2020,Q1,1,2
1/12/2020,2020,Q1,1,3
1/19/2020,2020,Q1,1,4
1/26/2020,2020,Q1,2,5
2/2/2020,2020,Q1,2,6
2/9/2020,2020,Q1,2,7
2/16/2020,2020,Q1,2,8
2/23/2020,2020,Q1,3,9
3/1/2020,2020,Q1,3,10
3/8/2020,2020,Q1,3,11
3/15/2020,2020,Q1,3,12
3/22/2020,2020,Q1,4,13
3/29/2020,2020,Q2,4,14
4/5/2020,2020,Q2,4,15
4/12/2020,2020,Q2,4,16
4/19/2020,2020,Q2,5,17
4/26/2020,2020,Q2,5,18
5/3/2020,2020,Q2,5,19
5/10/2020,2020,Q2,5,20
5/17/2020,2020,Q2,6,21
5/24/2020,2020,Q2,6,22
5/31/2020,2020,Q2,6,23
6/7/2020,2020,Q2,6,24
6/14/2020,2020,Q2,7,25
6/21/2020,2020,Q2,7,26
6/28/2020,2020,Q3,7,27
7/5/2020,2020,Q3,7,28
7/12/2020,2020,Q3,8,29
7/19/2020,2020,Q3,8,30
7/26/2020,2020,Q3,8,31
8/2/2020,2020,Q3,8,32
8/9/2020,2020,Q3,9,33
8/16/2020,2020,Q3,9,34
8/23/2020,2020,Q3,9,35
8/30/2020,2020,Q3,9,36
9/6/2020,2020,Q3,10,37
9/13/2020,2020,Q3,10,38
9/20/2020,2020,Q3,10,39
9/27/2020,2020,Q4,10,40
10/4/2020,2020,Q4,11,41
10/11/2020,2020,Q4,11,42
10/18/2020,2020,Q4,11,43
10/25/2020,2020,Q4,11,44
11/1/2020,2020,Q4,12,45
11/8/2020,2020,Q4,12,46
11/15/2020,2020,Q4,12,47
11/22/2020,2020,Q4,12,48
11/29/2020,2020,Q4,13,49
12/6/2020,2020,Q4,13,50
12/13/2020,2020,Q4,13,51
12/20/2020,2020,Q4,13,52
12/27/2020,2021,Q1,1,1
1/3/2021,2021,Q1,1,2
1/10/2021,2021,Q1,1,3
1/17/2021,2021,Q1,1,4
1/24/2021,2021,Q1,2,5
1/31/2021,2021,Q1,2,6
2/7/2021,2021,Q1,2,7
2/14/2021,2021,Q1,2,8
2/21/2021,2021,Q1,3,9
2/28/2021,2021,Q1,3,10
3/7/2021,2021,Q1,3,11
3/14/2021,2021,Q1,3,12
3/21/2021,2021,Q1,4,13
3/28/2021,2021,Q2,4,14
4/4/2021,2021,Q2,4,15
4/11/2021,2021,Q2,4,16
4/18/2021,2021,Q2,5,17
4/25/2021,2021,Q2,5,18
5/2/2021,2021,Q2,5,19
5/9/2021,2021,Q2,5,20
5/16/2021,2021,Q2,6,21
5/23/2021,2021,Q2,6,22
5/30/2021,2021,Q2,6,23
6/6/2021,2021,Q2,6,24
6/13/2021,2021,Q2,7,25
6/20/2021,2021,Q2,7,26
6/27/2021,2021,Q3,7,27
7/4/2021,2021,Q3,7,28
7/11/2021,2021,Q3,8,29
7/18/2021,2021,Q3,8,30
7/25/2021,2021,Q3,8,31
8/1/2021,2021,Q3,8,32
8/8/2021,2021,Q3,9,33
8/15/2021,2021,Q3,9,34
8/22/2021,2021,Q3,9,35
8/29/2021,2021,Q3,9,36
9/5/2021,2021,Q3,10,37
9/12/2021,2021,Q3,10,38
9/19/2021,2021,Q3,10,39
9/26/2021,2021,Q4,10,40
10/3/2021,2021,Q4,11,41
10/10/2021,2021,Q4,11,42
10/17/2021,2021,Q4,11,43
10/24/2021,2021,Q4,11,44
10/31/2021,2021,Q4,12,45
11/7/2021,2021,Q4,12,46
11/14/2021,2021,Q4,12,47
11/21/2021,2021,Q4,12,48
11/28/2021,2021,Q4,13,49
12/5/2021,2021,Q4,13,50
12/12/2021,2021,Q4,13,51
12/19/2021,2021,Q4,13,52
